Campus,Faculty,Experience,Information_sys,Inform_disp,Inform_pos,Inform_secure,inform_bene,Inform_sasti,KUR3,KUR3_userfriendly_tab,KUR3_userfriendly_sys,KUR3_correct,KUR,KUR_userfriendly_tab,KUR_userfriendly_sys,KUR_correct,KURX,KURX_userfriendly_tab,KURX_userfriendly_sys,KURX_correct,KUForest,KUForest_userfriendly_sys,KUForest_correct,staff_sasti,staff_servicemind,staff_contact,staff_problemsolve,staff_correct
Sriracha,Engineering,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,KAPI,<= 5 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,3.0,3.0,3.0,3.0,3.0,2.0,2.0
Bangkhen,Science,16-20 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkhen,Agriculture,11-15 ปี,1,4.0,4.0,3.0,5.0,4.0,1,5.0,5.0,4.0,1,4.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Humanities,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KamphaengSaen,LiberalArts_and_Science,6-10 ปี,1,4.0,4.0,4.0,3.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Fisheries,11-15 ปี,1,4.0,4.0,5.0,5.0,5.0,1,5.0,4.0,5.0,1,5.0,4.0,5.0,0,0.0,0.0,0.0,1,4.0,5.0,4.0,4.0,4.0,4.0,4.0
SakonNakon,Science_and_Engineering,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,6-10 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,IFRPD,16-20 ปี,1,5.0,5.0,4.0,4.0,4.0,1,4.0,3.0,3.0,1,5.0,5.0,5.0,1,4.0,4.0,5.0,1,4.0,4.0,4.0,3.0,5.0,4.0,4.0
Bangkhen,Agriculture,21-25 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,3.0,3.0,4.0,3.0
KamphaengSaen,Agriculture,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,3.0,3.0,3.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Bangkhen,Engineering,> 25 ปีขึ้นไป,1,4.0,4.0,4.0,4.0,4.0,1,4.0,5.0,5.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,<= 5 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkhen,Social_Sciences,11-15 ปี,1,3.0,1.0,4.0,2.0,2.0,1,2.0,1.0,3.0,1,1.0,1.0,2.0,0,0.0,0.0,0.0,0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
KamphaengSaen,Agriculture,16-20 ปี,1,5.0,4.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,4.0,5.0,0,0.0,0.0,0.0,1,5.0,4.0,5.0,4.0,5.0,5.0,4.0
Bangkhen,Science,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Education,<= 5 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,11-15 ปี,1,3.0,3.0,3.0,3.0,3.0,1,3.0,3.0,3.0,1,3.0,3.0,3.0,1,3.0,3.0,3.0,1,2.0,2.0,3.0,3.0,3.0,3.0,3.0
Bangkhen,Agro_industry,<= 5 ปี,1,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,1,5.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Engineering,<= 5 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0
Sriracha,Engineering,<= 5 ปี,1,2.0,2.0,1.0,2.0,2.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,2.0,3.0,2.0,2.0,1.0,3.0,1.0
Bangkhen,Education,<= 5 ปี,1,5.0,5.0,5.0,5.0,5.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,3.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Agro_industry,11-15 ปี,1,5.0,5.0,5.0,4.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
Bangkhen,Education,<= 5 ปี,1,4.0,5.0,4.0,4.0,5.0,1,4.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.0,5.0,5.0,5.0,5.0,5.0,5.0
KamphaengSaen,Agriculture,6-10 ปี,1,5.0,5.0,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Science,> 25 ปีขึ้นไป,1,5.0,5.0,5.0,5.0,5.0,1,5.0,4.0,4.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Agro_industry,11-15 ปี,1,5.0,5.0,4.0,4.0,5.0,1,4.0,3.0,3.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,3.0,2.0,4.0,4.0,5.0,4.0,4.0
Bangkhen,Veterinary_Medicine,> 25 ปีขึ้นไป,1,4.0,4.0,4.0,3.0,4.0,1,3.0,2.0,4.0,1,4.0,4.0,4.0,1,4.0,5.0,4.0,1,3.0,3.0,3.0,4.0,3.0,3.0,3.0
SakonNakon,Agro_industry,11-15 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sriracha,Engineering,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KamphaengSaen,LiberalArts_and_Science,11-15 ปี,1,4.0,4.0,5.0,4.0,4.0,1,5.0,5.0,5.0,1,4.0,4.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Bangkhen,Veterinary_Technology,<= 5 ปี,1,4.0,4.0,3.0,4.0,4.0,1,4.0,3.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Fisheries,16-20 ปี,1,5.0,4.0,5.0,4.0,5.0,1,4.0,4.0,4.0,1,5.0,4.0,5.0,0,3.0,3.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KamphaengSaen,Engineering,<= 5 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Research_and_Development_Institute,11-15 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,0.0,0.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Humanities,11-15 ปี,1,4.0,5.0,5.0,4.0,4.0,1,5.0,4.0,4.0,1,5.0,4.0,5.0,0,5.0,5.0,5.0,1,5.0,5.0,4.0,4.0,4.0,5.0,5.0
Bangkhen,Agro_industry,<= 5 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,3.0,3.0,3.0,4.0,4.0
Bangkhen,Science,16-20 ปี,1,3.0,3.0,4.0,4.0,4.0,1,3.0,3.0,3.0,1,3.0,4.0,4.0,1,4.0,3.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KamphaengSaen,LiberalArts_and_Science,11-15 ปี,1,5.0,5.0,5.0,3.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,5.0,5.0,5.0,5.0,5.0
SakonNakon,Agro_industry,> 25 ปีขึ้นไป,1,5.0,4.0,4.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,4.0,4.0,5.0,5.0,5.0,5.0,5.0
KamphaengSaen,Education_and_Development_Sciences,11-15 ปี,1,4.0,4.0,5.0,5.0,5.0,1,5.0,4.0,4.0,1,4.0,4.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Agro_industry,16-20 ปี,1,3.0,2.0,3.0,3.0,3.0,1,3.0,3.0,3.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,2.0,4.0,3.0,3.0,4.0
KamphaengSaen,Engineering,> 25 ปีขึ้นไป,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkhen,Fisheries,<= 5 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Science,> 25 ปีขึ้นไป,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KamphaengSaen,Agriculture,> 25 ปีขึ้นไป,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,6-10 ปี,1,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1,2.0,3.0,3.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0
KamphaengSaen,Education_and_Development_Sciences,16-20 ปี,1,4.0,4.0,5.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,5.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,4.0,4.0,4.0,5.0
Bangkhen,Integrated_Science,<= 5 ปี,1,4.0,3.0,5.0,4.0,4.0,1,4.0,3.0,3.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,1,3.0,4.0,4.0,5.0,5.0,3.0,4.0
Bangkhen,Agriculture,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Social_Sciences,16-20 ปี,1,5.0,5.0,5.0,5.0,5.0,1,4.0,3.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,3.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Forestry,11-15 ปี,1,2.0,2.0,4.0,4.0,4.0,1,3.0,4.0,4.0,1,4.0,4.0,4.0,1,5.0,5.0,5.0,1,3.0,3.0,4.0,3.0,4.0,4.0,4.0
Bangkhen,Humanities,6-10 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Education,> 25 ปีขึ้นไป,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Medicine,<= 5 ปี,1,4.0,4.0,5.0,5.0,4.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,1,5.0,5.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Agriculture,> 25 ปีขึ้นไป,1,4.0,4.0,5.0,5.0,4.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,4.0,4.0,4.0,4.0,4.0
Bangkhen,Agro_industry,> 25 ปีขึ้นไป,1,4.0,4.0,4.0,5.0,4.0,1,3.0,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Sriracha,Management Sciences,21-25 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Agriculture,6-10 ปี,1,3.0,4.0,5.0,5.0,4.0,1,4.0,3.0,4.0,1,3.0,4.0,4.0,1,3.0,3.0,4.0,1,5.0,4.0,4.0,4.0,3.0,4.0,3.0
KamphaengSaen,Rice_Science_Center,6-10 ปี,1,4.0,4.0,5.0,5.0,4.0,1,4.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Forestry,> 25 ปีขึ้นไป,1,4.0,4.0,5.0,4.0,4.0,0,0.0,0.0,0.0,1,3.0,4.0,4.0,0,0.0,0.0,0.0,1,5.0,4.0,5.0,4.0,5.0,5.0,5.0
KamphaengSaen,Agriculture,11-15 ปี,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Architecture,> 25 ปีขึ้นไป,1,3.0,3.0,5.0,4.0,4.0,1,3.0,4.0,4.0,1,3.0,3.0,4.0,1,3.0,3.0,5.0,0,0.0,0.0,4.0,4.0,3.0,4.0,4.0
Bangkhen,Agriculture,16-20 ปี,1,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,5.0,1,4.0,4.0,4.0,4.0,3.0,4.0,4.0
Bangkhen,Agriculture,21-25 ปี,1,5.0,4.0,4.0,4.0,4.0,1,3.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KamphaengSaen,Engineering,6-10 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KamphaengSaen,Agriculture,<= 5 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkhen,Agriculture,> 25 ปีขึ้นไป,1,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bangkhen,Engineering,11-15 ปี,1,3.0,4.0,3.0,4.0,4.0,1,4.0,4.0,4.0,1,4.0,3.0,4.0,0,0.0,0.0,0.0,1,4.0,4.0,4.0,5.0,3.0,4.0,4.0
KamphaengSaen,Engineering,6-10 ปี,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
